,Embryo,Static time,Last time,Max time,Method 1,Method 3
0,D2018_07_04_S00250_I0831_D_pdb_E2,6805,7021,7021,216,216
1,D2018_02_08_S00425_I0776_D_pdb_E9,6796,7215,7175,419,379
2,D2018_02_21_S00167_I0831_D_pdb_E1,6794,6794,6898,0,104
3,D2019_02_14_S00109_I3171_E3,6795,7022,7022,227,227
4,D2019_01_15_S00071_I3169_E6,6799,6970,6961,171,162
5,D2018_08_31_S00294_I0831_D_pdb_E3,6805,6975,6955,170,150
6,D2018_04_09_S00461_I0776_D_pdb_E5,6798,6988,6968,190,170
7,D2016_09_03_S0096_I776_pdb_E3,6798,6973,6913,175,115
8,D2018_10_06_S00318_I0831_D_pdb_E8,6804,6804,6914,0,110
9,D2018_05_30_S00167_I0800_D_pdb_E1,6803,7037,7037,234,234
10,D2019_03_07_S00591_I0776_D_pdb_E3,6805,7015,7005,210,200
11,D2019_09_03_S00372_I3171_E4,6802,6802,6843,0,41
12,D2019_05_01_S00303_I0800_D_pdb_E1,6797,6958,6947,161,150
13,D2019_10_14_S00437_I3171_E9,6818,6975,6975,157,157
14,D2017_09_22_S0073_I831_pdb_E2,6796,7030,6960,234,164
15,D2019_04_26_S00443_I0831_D_pdb_E6,6797,6797,6827,0,30
16,D2019_10_04_S00557_I0831_D_pdb_E7,1145,1145,1145,0,0
17,D2019_11_19_S00505_I3171_E4,6799,7052,7052,253,253
18,D2019_02_01_S00275_I0800_D_pdb_E2,6804,6974,6904,170,100
19,D2017_01_12_S0173_I776_pdb_E10,6800,7210,7210,410,410
20,D2019_11_09_S00488_I3171_E2,6799,7233,6878,434,79
21,D2019_11_17_S00536_I3169_E9,6802,6974,6974,172,172
22,D2017_10_20_S0102_I831_pdb_E6,6801,6951,6951,150,150
23,D2019_11_08_S00485_I3171_E8,6803,7136,7072,333,269
24,D2019_10_14_S00437_I3171_E8,6818,6975,6870,157,52
25,D2019_07_19_S00497_I0831_D_pdb_E6,6804,6985,6935,181,131
26,D2016_11_09_S0143_I776_pdb_E2,6797,6797,6807,0,10
27,D2018_11_12_S00347_I0831_D_pdb_E4,6799,6959,6949,160,150
28,D2018_09_26_S00309_I0831_D_pdb_E4,6798,6968,6938,170,140
29,D2019_02_25_S00121_I3169_E16,6800,6872,6872,72,72
30,D2019_02_14_S00110_I3171_E14,6802,6802,6832,0,30
31,D2019_07_15_S00333_I3169_E5,6804,6894,6885,90,81
32,D2018_08_24_S00221_I0800_D_pdb_E5,6796,7066,6806,270,10
33,D2018_06_23_S00243_I0831_D_pdb_E1,6804,7005,6934,201,130
34,D2017_09_02_S00326_I0776_D_pdb_E2,6793,7234,6867,441,74
35,D2019_10_25_S00492_I3169_E4,6797,6797,6968,0,171
36,D2018_11_08_S00568_I0776_D_pdb_E4,6804,8333,8333,1529,1529
37,D2019_11_25_S00516_I3171_E8,6795,6874,6806,79,11
38,D2019_06_01_S00262_I3169_E3,6800,6800,6878,0,78
39,D2018_10_14_S00541_I0776_E9,6798,7099,7089,301,291
40,D2019_07_05_S00315_I3169_E4,6801,7104,6941,303,140
41,D2019_11_04_S00475_I3171_E16,6804,6804,6936,0,132
42,D2019_11_08_S00482_I3171_E10,6802,7158,7147,356,345
43,D2019_09_16_S00396_I3171_E3,6798,7110,7079,312,281
44,D2019_02_24_S00119_I3169_E3,6801,6801,6801,0,0
45,D2018_07_30_S00505_I0776_D_pdb_E6,6804,6984,6974,180,170
46,D2018_09_07_S00299_I0831_D_pdb_E4,6800,6958,6948,158,148
47,D2019_11_08_S00484_I3171_E10,6797,6797,6845,0,48
48,D2018_03_16_S00128_I0800_D_pdb_E7,6798,6933,6933,135,135
49,D2018_11_28_S00044_I3171_E10,6796,6872,6829,76,33
50,D2019_06_17_S00262_I3171_E1,6800,6800,6913,0,113
51,D2019_05_05_S00222_I3169_E1,6801,7187,6999,386,198
52,D2018_08_24_S00222_I0800_D_pdb_E4,6802,7308,7308,506,506
53,D2016_10_19_S0128_I776_pdb_E7,6804,6844,6844,40,40
54,D2017_09_24_S0056_I800_pdb_E4,6800,6800,6981,0,181
55,D2018_08_03_S00206_I0800_D_pdb_E10,6797,7020,6921,223,124
56,D2018_07_31_S00506_I0776_E1,6801,6998,6981,197,180
57,D2019_08_23_S00359_I3171_E9,6798,7033,7033,235,235
58,D2019_06_03_S00321_I0800_D_pdb_E1,6801,6801,6936,0,135
59,D2018_09_19_S00529_I0776_E5,6796,9994,9934,3198,3138
60,D2019_07_10_S00332_I0800_D_pdb_E3,6802,6802,6892,0,90
61,D2018_03_08_S00124_I0800_D_pdb_E3,6801,7104,6852,303,51
62,D2019_03_12_S00135_I3169_E2,6798,8280,8241,1482,1443
63,D2018_05_23_S00223_I0831_D_pdb_E3,6795,6795,6989,0,194
64,D2019_05_15_S00217_I3171_E14,6805,6795,6973,10,168
65,D2019_02_25_S00121_I3169_E7,6800,6871,6861,71,61
66,D2018_06_20_S00240_I0831_D_pdb_E9,6797,6797,6857,0,60
67,D2017_11_07_S00374_I0776_D_pdb_E2,6796,6796,7619,0,823
68,D2018_03_20_S00450_I0776_D_pdb_E6,6797,6807,6807,10,10
69,D2019_02_26_S00123_I3171_E8,6803,7088,7077,285,274
70,D2019_07_12_S00329_I3169_E5,6801,6801,7781,0,980
71,D2019_03_29_S00162_I3169_E2,6805,6776,6863,29,58
72,D2017_11_22_S0122_I831_pdb_E8,6802,7208,6992,406,190
73,D2018_11_07_S00343_I0831_D_pdb_E4,6797,6797,6837,0,40
74,D2019_12_14_S00586_I3169_E8,6801,7102,7030,301,229
75,D2019_03_20_S00595_I0776_D_pdb_E3,6796,7006,6886,210,90
76,D2016_07_12_S0061_I776_pdb_E2,6797,7177,7147,380,350
77,D2019_04_26_S00443_I0831_D_pdb_E8,6798,6848,6827,50,29
78,D2018_10_22_S00327_I0831_D_pdb_E9,6795,7047,6977,252,182
79,D2019_11_21_S00511_I3171_E3,6802,7164,7068,362,266
80,D2019_05_17_S00604_I0776_D_pdb_E4,6804,6804,6804,0,0
81,D2019_04_30_S00214_I3169_E4,6802,9764,9649,2962,2847
82,D2019_01_09_S00374_I0831_D_pdb_E3,6798,6858,6858,60,60
83,D2019_08_19_S00386_I3169_E11,6796,6972,6972,176,176
84,D2019_01_11_S00377_I0831_D_pdb_E5,6800,6800,6924,0,124
85,D2019_05_11_S00308_I0800_D_pdb_E6,6804,6804,6844,0,40
86,D2019_02_15_S00114_I3171_E1,6799,6799,6941,0,142
87,D2020_02_12_S00643_I3169_E8,6802,7171,7139,369,337
88,D2019_10_04_S00423_I3171_E11,6807,6807,6807,0,0
89,D2019_07_25_S00346_I3169_E1,6800,6943,6932,143,132
90,D2019_07_16_S00304_I3171_E2,6797,7066,6914,269,117
91,D2019_06_18_S00265_I3171_E6,6795,7061,7031,266,236
92,D2019_06_03_S00321_I0800_D_pdb_E3,6801,6801,6885,0,84
93,D2018_10_05_S00316_I0831_D_pdb_E1,6796,6886,6886,90,90
94,D2016_09_21_S0108_I776_pdb_E9,6805,6995,6945,190,140
95,D2019_10_14_S00660_I0776_D_pdb_E5,6802,6942,6942,140,140
96,D2018_12_15_S00373_I0831_D_pdb_E7,6805,6905,6835,100,30
97,D2018_12_05_S00047_I3169_E2,6805,6724,6795,81,10
98,D2018_04_03_S00455_I0776_E6,6798,6798,6809,0,11
99,D2017_11_17_S0080_I800_pdb_E4,6795,7206,6876,411,81
100,D2018_01_24_S00418_I0776_D_pdb_E7,6801,6959,6877,158,76
101,D2017_08_03_S0047_I831_pdb_E2,6805,6884,6874,79,69
102,D2019_03_20_S00418_I0831_D_pdb_E8,6801,6961,6921,160,120
103,D2017_10_11_S0092_I831_pdb_E5,2840,2840,2840,0,0
104,D2019_03_08_S00136_I3171_E2,6797,8588,8588,1791,1791
105,D2019_11_13_S00591_I0831_D_pdb_E9,6799,6799,6919,0,120
106,D2018_08_31_S00294_I0831_D_pdb_E5,6795,6795,7087,0,292
107,D2018_08_27_S00289_I0831_D_pdb_E2,6797,6797,6983,0,186
108,D2018_02_21_S00431_I0776_D_pdb_E6,6806,8400,8156,1594,1350
109,D2019_07_12_S00493_I0831_D_pdb_E5,6795,6795,6805,0,10
110,D2019_08_07_S00339_I3171_E1,6800,6800,6819,0,19
111,D2018_10_12_S00323_I0831_D_pdb_E10,6803,6893,6873,90,70
112,D2019_03_22_S00419_I0831_D_pdb_E2,6802,6982,6972,180,170
113,D2016_06_11_S0035_I776_pdb_E5,6796,6796,7035,0,239
114,D2018_11_16_S00570_I0776_D_pdb_E8,6803,6953,6923,150,120
115,D2019_11_08_S00482_I3171_E8,6802,7158,7158,356,356
116,D2019_07_05_S00315_I3169_E1,6801,7104,7057,303,256
117,D2019_04_07_S00178_I3169_E13,6797,7210,7210,413,413
118,D2017_12_06_S00400_I0776_D_pdb_E4,6796,7122,7122,326,326
119,D2019_02_01_S00276_I0800_D_pdb_E2,6800,6800,7774,0,974
120,D2019_05_24_S00247_I3169_E1,6804,8508,8497,1704,1693
121,D2016_09_09_S0101_I776_pdb_E2,6795,7165,7070,370,275
122,D2018_02_09_S00160_I0831_D_pdb_E1,4480,4480,4480,0,0
123,D2019_07_28_S00336_I0800_D_pdb_E6,6805,7198,7121,393,316
124,D2017_02_05_S0186_I776_pdb_E4,6804,6734,6804,70,0
125,D2019_06_13_S00610_I0776_D_pdb_E3,6798,6958,6938,160,140
126,D2018_10_15_S00255_I0800_D_pdb_E4,6805,7063,6916,258,111
127,D2017_10_11_S0065_I800_pdb_E6,6804,7134,6964,330,160
128,D2019_02_25_S00120_I3169_E4,6801,6909,6909,108,108
129,D2019_08_19_S00521_I0831_D_pdb_E2,6799,6799,6859,0,60
130,D2018_06_29_S00246_I0831_D_pdb_E1,6803,6803,6943,0,140
131,D2017_11_17_S0080_I800_pdb_E2,6795,7205,7205,410,410
132,D2018_09_07_S00299_I0831_D_pdb_E3,6800,6958,6948,158,148
133,D2019_09_13_S00647_I0776_D_pdb_E5,6800,6800,6993,0,193
134,D2019_03_20_S00595_I0776_D_pdb_E7,6796,7006,6926,210,130
135,D2018_07_31_S00506_I0776_E9,6802,6802,6972,0,170
136,D2019_09_20_S00431_I3169_E4,6805,6756,6805,49,0
137,D2018_11_01_S00007_I3171_E1,6799,6799,7093,0,294
138,D2018_07_30_S00505_I0776_D_pdb_E1,6803,6803,6873,0,70
139,D2020_02_06_S00587_I3171_E4,6798,7125,7120,327,322
140,D2019_12_15_S00622_I0831_D_pdb_E4,6798,6798,6808,0,10
141,D2019_06_20_S00613_I0776_D_pdb_E6,6798,6931,6931,133,133
142,D2019_01_31_S00274_I0800_D_pdb_E2,6795,7185,7055,390,260
143,D2019_02_05_S00095_I3169_E2,6796,6796,6827,0,31
144,D2018_11_20_S00352_I0831_D_pdb_E4,6800,6940,6890,140,90
145,D2019_02_01_S00275_I0800_D_pdb_E9,6805,6795,6855,10,50
146,D2019_05_29_S00464_I0831_D_pdb_E2,6805,6795,6805,10,0
147,D2019_08_25_S00360_I3171_E12,6799,6799,6837,0,38
148,D2019_11_22_S00513_I3171_E6,6795,6795,7026,0,231
149,D2020_03_06_S00689_I3169_E4,6796,7234,7176,438,380
150,D2018_10_23_S00548_I0776_E8,6800,6800,7061,0,261
151,D2018_07_06_S00191_I0800_D_pdb_E5,6802,6802,6802,0,0
152,D2020_02_16_S00650_I3169_E4,6805,8780,7234,1975,429
153,D2019_11_21_S00511_I3171_E7,6802,6802,6802,0,0
154,D2017_07_20_S00293_I0776_D_pdb_E4,6801,6801,6801,0,0
155,D2019_07_29_S00632_I0776_D_pdb_E10,6799,6899,6879,100,80
156,D2018_06_23_S00243_I0831_D_pdb_E9,6795,6795,6986,0,191
157,D2018_11_03_S00013_I3171_E3,6809,6809,6993,0,184
158,D2019_05_31_S00467_I0831_D_pdb_E1,6800,6800,6914,0,114
159,D2020_01_21_S00391_I0800_D_pdb_E4,6805,6916,6905,111,100
160,D2019_05_31_S00231_I3171_E2,6796,7115,7115,319,319
161,D2019_02_14_S00110_I3171_E1,6801,6982,6911,181,110
162,D2019_12_15_S00622_I0831_D_pdb_E3,6798,6798,6858,0,60
163,D2018_08_08_S00275_I0831_D_pdb_E6,6798,6838,6818,40,20
164,D2019_10_15_S00440_I3171_E11,6795,6986,6951,191,156
165,D2019_08_13_S00345_I3171_E13,6797,6975,6944,178,147
166,D2019_09_23_S00439_I3169_E8,6808,6923,6882,115,74
167,D2016_11_08_S0142_I776_pdb_E4,6796,8588,6876,1792,80
168,D2018_07_27_S00268_I0831_D_pdb_E2,6801,6945,6831,144,30
169,D2019_10_28_S00498_I3169_E7,6800,6958,6958,158,158
170,D2019_09_28_S00449_I3169_E5,6798,7131,7131,333,333
171,D2019_12_07_S00574_I3169_E3,6796,6772,6830,24,34
172,D2019_10_22_S00452_I3171_E4,6795,6795,6837,0,42
173,D2019_06_13_S00251_I3171_E8,6802,6802,6802,0,0
174,D2018_08_17_S00283_I0831_D_pdb_E1,6804,6804,6827,0,23
175,D2018_11_28_S00042_I3171_E1,6799,6799,6898,0,99
176,D2019_07_11_S00625_I0776_D_pdb_E1,6803,7003,6973,200,170
177,D2019_03_21_S00157_I3171_E5,6798,6983,6983,185,185
178,D2020_02_06_S00587_I3171_E3,6798,7124,7120,326,322
179,D2017_10_11_S0065_I800_pdb_E3,6804,6804,6844,0,40
180,D2018_06_26_S00184_I0800_D_pdb_E1,6802,7682,7657,880,855
181,D2019_10_18_S00449_I3171_E1,6789,6789,6832,0,43
182,D2018_02_21_S00168_I0831_D_pdb_E6,6805,6805,6805,0,0
183,D2019_03_21_S00146_I3169_E15,6801,7062,6986,261,185
184,D2017_12_04_S0094_I800_pdb_E3,6802,6802,6852,0,50
185,D2017_07_29_S00301_I0776_D_pdb_E5,6768,6768,6864,0,96
186,D2019_05_13_S00309_I0800_D_pdb_E2,6804,6804,6875,0,71
187,D2019_07_26_S00506_I0831_D_pdb_E3,6801,6801,6801,0,0
188,D2018_11_08_S00567_I0776_D_pdb_E2,6796,7126,7006,330,210
189,D2019_01_25_S00078_I3171_E7,6803,6803,6940,0,137
190,D2019_05_31_S00468_I0831_D_pdb_E5,6801,7039,6870,238,69
191,D2019_02_15_S00114_I3171_E3,6799,7058,7048,259,249
